C,accuracy,precision,recall,f1,roc_auc,support_vectors
0.1,0.7885024840312278,0.61875,0.5294117647058824,0.5706051873198847,0.8261747913921828,2576
1.0,0.7892122072391767,0.6206896551724138,0.5294117647058824,0.5714285714285714,0.8245007620966701,2569
10.0,0.7863733144073811,0.6130030959752322,0.5294117647058824,0.5681492109038737,0.8237257485339327,2567
